ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,uuu-bangxie,,Bangxie,57,mu,classifier for arrow,one arrow,,,,
,uuu-bangxie,,Bangxie,58,lɛ,classifier for biscuit ,one biscuit ,,,,
,uuu-bangxie,,Bangxie,59,blʌ,classifier for mushroom ,one mushroom ,,,,
,uuu-bangxie,,Bangxie,60,mu,classifier for street ,one street ,,,,
,uuu-bangxie,,Bangxie,61,mu,classifier for comb,one comb,,,,
,uuu-bangxie,,Bangxie,62,do,classifier for cow ,one cow ,,,,
,uuu-bangxie,,Bangxie,63,do,classifier for bull,one bull,,,,
,uuu-bangxie,,Bangxie,64,mu,classifier for bamboo,one bamboo,,,,
,uuu-bangxie,,Bangxie,65,?,classifier for scar,one scar,,,,
,uuu-bangxie,,Bangxie,66,mu,classifier for child,one child,,,,
,uuu-bangxie,,Bangxie,67,ŋən,classifier for chilli,one chilli,,,,
,uuu-bangxie,,Bangxie,68,mu,classifier for sound,one sound,,,,
,uuu-bangxie,,Bangxie,69,ŋən,classifier for bag,one bag,,,,
,uuu-bangxie,,Bangxie,70,blʌ,classifier for toothbrush,one toothbrush,,,,
,uuu-bangxie,,Bangxie,71,mu ,classifier for ear,one ear,,,,
,uuu-bangxie,,Bangxie,72,lɛ,classifier for paper,one paper,,,,
,uuu-bangxie,,Bangxie,73,ŋən,classifier for mirror,one mirror,,,,
,uuu-bangxie,,Bangxie,74,bən,classifier for book,one book,,,,
,vwa-mangjing,,Mangjing,1,do,classifier for dog ,one dog,,,,
,vwa-mangjing,,Mangjing,2,do,classifier for cat ,one cat,,,,
,vwa-mangjing,,Mangjing,3,do,classifier for chicken ,one chicken ,,,,
,vwa-mangjing,,Mangjing,4,do,classifier for pig ,one pig ,,,,
,vwa-mangjing,,Mangjing,5,do,classifier for cow ,one cow ,,,,
,vwa-mangjing,,Mangjing,6,do,classifier for snake ,one snake ,,,,
,vwa-mangjing,,Mangjing,7,do,classifier for fish ,one fish ,,,,
,vwa-mangjing,,Mangjing,8,[did not use a classifier],classifier for hat ,one hat ,,,,
,vwa-mangjing,,Mangjing,9, pʰə,classifier for trousers ,one trousers ,,,,
,vwa-mangjing,,Mangjing,10,pʰə,classifier for shirt ,one shirt ,,,,
,vwa-mangjing,,Mangjing,11, ga,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,vwa-mangjing,,Mangjing,12,dɛŋ,classifier for chopstick (single) ,one chopstick (single) ,,,,
,vwa-mangjing,,Mangjing,13,ga,classifier for shoe (pair),one shoe (pair),,,,
,vwa-mangjing,,Mangjing,14,dɛŋ,classifier for shoe (single),one shoe (single),,,,
,vwa-mangjing,,Mangjing,15,[did not use a classifier],classifier for cushion ,one cushion ,,,,
,vwa-mangjing,,Mangjing,16,[did not use a classifier],classifier for flower ,one flower ,,,,
,vwa-mangjing,,Mangjing,17,[did not use a classifier],classifier for tree ,one tree ,,,,
,vwa-mangjing,,Mangjing,18,[did not use a classifier],classifier for house,one house,,,,
,vwa-mangjing,,Mangjing,19,[did not use a classifier],classifier for table ,one table ,,,,
,vwa-mangjing,,Mangjing,20,[did not use a classifier],classifier for chair ,one chair ,,,,
,vwa-mangjing,,Mangjing,21,[did not use a classifier],classifier for pen ,one pen ,,,,
,vwa-mangjing,,Mangjing,22,[did not use a classifier],classifier for spoon ,one spoon ,,,,
,vwa-mangjing,,Mangjing,23,rɔm,classifier for noodle ,one noodle ,,,,
,vwa-mangjing,,Mangjing,24,brʌ,classifier for leaf ,one leaf ,,,,
,vwa-mangjing,,Mangjing,25,[did not use a classifier],classifier for room ,one room ,,,,
,vwa-mangjing,,Mangjing,26,[did not use a classifier],classifier for person ,one person ,,,,
,vwa-mangjing,,Mangjing,27,[did not use a classifier],classifier for teacher ,one teacher ,,,,
,vwa-mangjing,,Mangjing,28,[did not use a classifier],classifier for spider ,one spider ,,,,
,vwa-mangjing,,Mangjing,29,[did not use a classifier],classifier for stone ,one stone ,,,,
,vwa-mangjing,,Mangjing,30,[did not use a classifier],classifier for boat ,one boat ,,,,
,vwa-mangjing,,Mangjing,31,[did not use a classifier],classifier for banana ,one banana ,,,,
,vwa-mangjing,,Mangjing,32,[did not use a classifier],classifier for papaya,one papaya,,,,
,vwa-mangjing,,Mangjing,33,[did not use a classifier],classifier for cloud ,one cloud ,,,,
,vwa-mangjing,,Mangjing,34,dɛŋ,classifier for hand ,one hand ,,,,
,vwa-mangjing,,Mangjing,35,[did not use a classifier],classifier for finger ,one finger ,,,,
,vwa-mangjing,,Mangjing,36,dɛŋ,classifier for leg ,one leg ,,,,
,vwa-mangjing,,Mangjing,37,[did not use a classifier],classifier for car ,one car ,,,,
,vwa-mangjing,,Mangjing,38,[did not use a classifier],classifier for door ,one door ,,,,
,vwa-mangjing,,Mangjing,39,[did not use a classifier],classifier for picture ,one picture ,,,,
,vwa-mangjing,,Mangjing,40,mu),classifier for grain of rice ,one grain of rice ,,,,
,vwa-mangjing,,Mangjing,41,glɔm,classifier for tea leaf ,one tea leaf ,,,,
,vwa-mangjing,,Mangjing,42,glɔm,classifier for cup of tea ,one cup of tea ,,,,
,vwa-mangjing,,Mangjing,43,glɔm,classifier for cup of water ,one cup of water ,,,,
,vwa-mangjing,,Mangjing,44,glɔm,classifier for bowl of rice ,one bowl of rice ,,,,
,vwa-mangjing,,Mangjing,45,[did not use a classifier],classifier for bed ,one bed ,,,,
,vwa-mangjing,,Mangjing,46,[did not use a classifier],classifier for fan ,one fan ,,,,
,vwa-mangjing,,Mangjing,47,[did not use a classifier],classifier for light (bulb) ,one light (bulb) ,,,,
,vwa-mangjing,,Mangjing,48,[did not use a classifier],classifier for ball,one ball,,,,
,vwa-mangjing,,Mangjing,49,do,classifier for elephant,one elephant,,,,
